"species","treatment","nlS","se","lwr","upr","p","sig.code"
"Ba","AMF",0.506468645674069,0.788346496503256,-0.774971059735404,2.43743161415539,0.367075232459848,""
"Ba","AMFEMF",0.215068841464416,0.72267419342574,-1.25595874558675,1.73293787545253,0.682742413405538,""
"Ba","EMF",-0.518862871204241,0.420305814869499,-1.72241808688942,-0.0907921351662453,0.0134,"*"
"Ba","Sterile",-0.519935239600997,0.50025911955447,-2.19488146409698,-0.0715261855880229,0.0166,"*"
"Bi","AMF",0.117862804296723,0.195241756840454,-0.24825326969219,0.531656471856892,0.4734,""
"Bi","AMFEMF",0.132870831687878,0.409722212002621,-0.393327727868722,1.12920382186571,0.658835341365462,""
"Bi","EMF",0.667411855444503,0.504449738401555,0.211361106697775,2.07855001558999,0.000405926527298559,"***"
"Bi","Sterile",0.502050961009576,0.344013149101334,0.145799789060206,1.40383497594868,0.00380799679326586,"**"
